,HNSCC_P1,HNSCC_P2,HNSCC_P3,HNSCC_P4,HNSCC_P6,HNSCC_P7,HNSCC_P8,HNSCC_P9,HNSCC_P10,HNSCC_P11,HNSCC_P12,HNSCC_P13,HNSCC_P14,HNSCC_P15,HNSCC_P16,HNSCC_P17,HNSCC_P18,HNSCC_P19,HNSCC_P20,HNSCC_P21,HNSCC_P22,HNSCC_P23,HNSCC_P24,HNSCC_P25,HNSCC_P26
CUTC,0.0,0.285406241954686,0.305001019330866,0.0702590549821231,0.140529654167817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.119173660934727,0.0,0.112587974986056,0.238937234088767,0.198278090481373,0.0795949039558584,0.205189003806256,0.0977997544906559,0.130420390534478,0.0,0.12753549426976,0.0,0.131206876330917
BLOC1S2,0.0,0.482697901322375,0.558725004273787,0.258971323598251,0.569255033897898,0.0,0.658901114941704,0.0,1.0542264970149,0.356283623086665,0.720752168452419,0.0,0.408837887124194,0.0,0.308525083438935,0.724351270792943,0.435641140847377,0.639370395485807,0.892391304599543,0.622595366558885,0.631125860838702,1.00391420854946,0.532368449227133,0.264591675626718,0.31808069093558
NDUFB8,0.0,0.580871598944627,0.791735542731694,0.469074242811053,0.533500455489149,0.0,0.0,0.661800515864137,1.50482120628348,0.964250176609735,0.0,0.570125143471021,0.228521301534623,0.0,0.397477786416812,0.695448353408669,0.618706765696732,0.658191867071736,0.422292016179744,0.569651541655853,0.628651476464269,0.820136626184821,0.494249377021742,1.30179244567634,0.608603699288818
MRPL43,0.901229806744006,0.0,0.0,0.194430425450233,0.240454107363671,0.0,0.0,0.0,0.875676303510905,0.356283623086665,0.226772292869952,0.570125143471021,0.11789311956429,0.0,0.0,0.0,0.150730868786429,0.260847278185387,0.094781021908965,0.199105158564918,0.232255590824132,0.443386028970475,0.198089743969754,0.615575236873262,0.0
NOLC1,0.0,0.0,0.452053659470116,0.157928391168036,0.106717380843947,0.0,0.0,0.0,0.0,0.0,0.217750133385243,0.0,0.0,0.269257630537775,0.0,0.0,0.0,0.0977224875849777,0.227138158310874,0.103365535681378,0.139553880598343,0.820136626184821,0.0934855874605428,0.199839292853619,0.226184620793799
NFKB2,0.901229806744006,0.360759203979849,0.528524630174653,0.393817254389081,0.196838083265615,0.339559762752187,0.471096621820634,0.0,0.0,0.0,0.293393813192982,0.0,0.0,0.269257630537775,0.11144141761879,0.604760855853816,0.0,0.283505148468219,0.249820963279144,0.214702426164461,0.233827376953001,0.481390715899287,0.281517364238398,0.238322677392108,0.0
CUEDC2,0.0,0.182008395493421,0.148023085425192,0.0848087792241239,0.154402455126142,0.426668373446937,0.0,0.0,0.0,0.0,0.224032327313013,0.0,0.258024426524793,0.269257630537775,0.0,0.0,0.217157833191477,0.155327949605688,0.188603938208132,0.165155877544296,0.201025477300121,0.376750597214346,0.120738494172704,0.427849837546954,0.189838831616909
ACTR1A,0.0,0.0,0.149057948926494,0.0450743338449199,0.0972075668658265,0.0,0.0,0.0,0.0,0.279453785455041,0.407205078972194,0.0,0.217771786867607,0.0,0.0,0.0,0.217157833191477,0.164934499948641,0.0721972250730327,0.121890992971996,0.0936700468351191,0.0,0.099832043542082,0.481148662117488,0.0
TRIM8,0.0,0.0913233398950846,0.186534924419738,0.0600216729890081,0.0775185840495038,0.0,0.0,0.271816443546968,0.0,0.328512768068029,0.0,0.580887647779101,0.0,0.0,0.0,0.0,0.217157833191477,0.0577015707917271,0.0706655689161406,0.0479641348259254,0.0496171268547558,0.0,0.070860055479104,0.0,0.41081982148105
BORCS7,0.0,0.10142239744868,0.149057948926494,0.172912368929615,0.191400941959275,0.0,0.0,0.0,0.344467201375085,0.0,0.224032327313013,0.634259973737207,0.0,0.355178915730104,0.0,0.440225800641231,0.0,0.0655398363190456,0.185946670750858,0.182364638497783,0.215507641610872,0.443386028970475,0.153973078142038,0.199839292853619,0.0
GSTO1,0.901229806744006,0.0922145681704729,0.149057948926494,0.267360964813312,0.622401223714526,0.0,0.553195127486303,0.271816443546968,0.433806769315612,0.0,0.847698279371911,0.0,0.252938535793489,0.60862280810271,0.106667093361734,0.174801840712141,0.150730868786429,0.2775021798941,0.281637271462897,0.378449667244776,0.39824993663887,0.0,0.256382017040403,0.206098479695432,0.313132841390081
ADD3,0.901229806744006,0.304218978153313,0.466152551113282,0.223953941744706,0.235464645857649,0.339559762752187,0.471096621820634,0.604248498162752,0.0,0.0,0.407205078972194,0.0,0.11757165219149,0.0,0.0,0.0,0.150730868786429,0.348100786986122,0.145153887981415,0.223282701575698,0.207877253887186,0.0,0.280535938021261,0.37099337263934,0.163682212976348
SMNDC1,0.0,0.101814909810867,0.311179925994853,0.196906504860991,0.0968746563554808,0.0,0.540461378568613,0.329093900346325,0.0,0.356283623086665,0.221074615805681,0.0,0.404233154217863,0.522701522910382,0.0,0.109338447708532,0.0,0.0940721666531197,0.118081709978098,0.108202919407119,0.112428580693024,0.0,0.0925007366094034,0.0,0.131206876330917
SMC3,0.0,0.315297820319745,0.15497262511843,0.181548768467671,0.342715236710858,0.397860895674444,0.0,0.0,0.531209102135819,0.0,0.218568995350393,0.0,0.150338727558113,0.0,0.0,0.213713129537522,0.0,0.241430682059287,0.214331421554688,0.201434168345965,0.335016561805443,0.820136626184821,0.166413767534637,0.566779719636,0.312082749702872
PDCD4,0.0,0.322948198828472,0.132672767678844,0.290796780970548,0.395262096871966,0.397860895674444,0.0,0.0,0.0,0.446792866229954,0.0,0.0,0.508086720972783,0.269257630537775,0.133049181348126,0.174801840712141,0.555585099001904,0.318336149711566,0.590859366790642,0.450943368214553,0.49351446310133,0.481390715899287,0.398197728540191,0.189527160154846,0.625175319623643
SHOC2,0.0,0.290467934784278,0.0,0.298243005496115,0.29279234028062,0.0,0.0,0.332706615517812,0.344467201375085,0.412204835580733,0.226772292869952,0.634259973737207,0.259885430036549,0.0,0.106368147764191,0.0,0.2184833076559,0.307231617356537,0.238694512639321,0.268738549967645,0.30084559026521,0.0,0.196372837981211,0.268213345974815,0.131206876330917
ZDHHC6,0.0,0.104592081908419,0.281730716605338,0.0750362540078085,0.0977725040188216,0.0,0.0,0.0,0.344467201375085,0.477321694252748,0.443001273788499,0.0,0.0,0.0,0.0986938598555972,0.0,0.0,0.149942388973412,0.109314151697079,0.0822199071669468,0.122014803911812,0.0,0.131936370912371,0.238322677392108,0.163682212976348
CCDC186,0.0,0.282853935450484,0.304030574044924,0.064356585579255,0.0963764060921631,0.0,0.0,0.0,0.344467201375085,0.0,0.0,0.634259973737207,0.0,0.0,0.109184522604546,0.518520229471925,0.0,0.0555244939019863,0.175817831754666,0.0816634889127436,0.160492994275316,0.0,0.0835783844064183,0.0,0.154398477959233
FAM204A,0.0,0.28660047740184,0.341507549538167,0.28939959440032,0.284411936087294,0.0,0.0,0.0,0.0,0.0,0.416318633461756,0.0,0.126949163510316,0.0,0.106667093361734,0.0,0.0,0.147708133165008,0.274320373207536,0.215107056612036,0.272491545847785,0.481390715899287,0.181187542423554,0.238322677392108,0.279612945150133
EIF3A,0.901229806744006,0.0964384568029385,0.304030574044924,0.338748152422532,0.224980617391998,0.387671865484617,0.0,0.0,1.30948307282652,0.0,0.0,0.0,0.110777129415742,0.0,0.202310159610836,0.0,0.150730868786429,0.343091125994858,0.198813920818618,0.296371964011097,0.265734501022069,0.0,0.195764509831459,0.674151118523865,0.0
RGS10,0.0,0.183537908065557,0.0,0.14845676351526,0.371697602884405,0.0,0.0,0.0,0.0,0.279453785455041,0.0,0.0,0.126949163510316,0.606250200563144,0.0,0.109338447708532,0.0,0.106504230320742,0.402451394884881,0.238850387493785,0.315146842774347,0.0,0.203933992028763,0.592329090555999,0.148400536726525
TIAL1,0.0,0.276041361138882,0.186534924419738,0.310571796181498,0.201381679971461,0.0,0.0,0.0,0.344467201375085,0.0,0.439643611156074,0.0,0.0933810575623303,0.0,0.194868681208433,0.109338447708532,0.0,0.174277183685065,0.294844433091602,0.22890674575158,0.240077884280713,0.443386028970475,0.247279571851878,0.268213345974815,0.154398477959233
WDR11,0.0,0.172997407281826,0.339243929517657,0.189210594386028,0.0926014446741776,0.0,0.471096621820634,0.0,0.0,0.328512768068029,0.0,0.0,0.132936266526233,0.301437212546677,0.202542969117026,0.0,0.0,0.197727177611905,0.0756239646737023,0.155325302831194,0.0799656086969533,0.0,0.0839181091187097,0.226419335943474,0.1252144671909
